Method,Type,Accuracy,Macro F1,Macro Prec,Macro Rec,F1_raw
Random Forest,Baseline,0.960±0.025,0.883±0.092,0.889,0.889,0.8829986731534719
XGBoost,Baseline,0.926±0.038,0.845±0.072,0.887,0.843,0.8445512455380875
MLP (source only),Transfer Learning,0.845±0.000,0.781±0.000,0.788,0.819,0.7812632485407822
MLP (no TL),Transfer Learning,0.892±0.044,0.774±0.098,0.787,0.775,0.7741313008456971
MLP + TL (Freeze Head),Transfer Learning,0.845±0.041,0.769±0.059,0.786,0.818,0.7694041048913844
MLP + TL (Progressive),Transfer Learning,0.845±0.041,0.769±0.059,0.786,0.818,0.7694041048913844
MLP + TL (Full Finetune),Transfer Learning,0.838±0.049,0.758±0.067,0.772,0.792,0.7575985493358288
CNN + TL (Progressive),Transfer Learning,0.804±0.034,0.741±0.033,0.751,0.781,0.7414359427981719
CNN + TL (Full Finetune),Transfer Learning,0.797±0.019,0.735±0.019,0.745,0.777,0.7349944267978324
CNN + TL (Freeze Head),Transfer Learning,0.797±0.019,0.735±0.019,0.745,0.777,0.7349944267978324
CNN (source only),Transfer Learning,0.784±0.000,0.718±0.000,0.730,0.751,0.7179467224411045
SVM (RBF),Baseline,0.866±0.055,0.698±0.033,0.694,0.714,0.6976113411871926
KNN (k=5),Baseline,0.811±0.062,0.665±0.054,0.699,0.666,0.6647630953161644
